id,origin,created_at,updated_at,area,charter,test_data,scale,actions,expected,actual,status,severity,defect_id,fix,regression,evidence,notes
UAT-134,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,タブ・2ペイン,closes other or all tabs within the selected pane,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"review-flow.spec.ts:1307 のユーザーフローを実行し、expect(leftPane.getByRole(""tab"", { name: ""src/fixture.ts"" }))を観測","expect(leftPane.getByRole(""tab"", { name: ""src/fixture.ts"" })).toHaveAttribute( ""aria-selected"", ""true"", ) が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,review-flow.spec.ts:1307,matcher=toHaveAttribute / 697 unique assertionsから51 flowsをround-robin抽出
UAT-135,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,文書閲覧,keeps a large all-files tree responsive while documents open and close,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"review-flow.spec.ts:1356 のユーザーフローを実行し、expect(await virtualTree.locator("".file-tree-row"").count())を観測","expect(await virtualTree.locator("".file-tree-row"").count()).toBeLessThan(100) が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,review-flow.spec.ts:1356,matcher=toBeLessThan / 697 unique assertionsから51 flowsをround-robin抽出
UAT-136,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,commit範囲・diff,uses the comparison base for a PR range starting with a merge-back commit,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,uat-regressions.spec.ts:40 のユーザーフローを実行し、expect(requestedOldOids).notを観測,expect(requestedOldOids).not.toContain(featureParentBeforeMergeBack) が成立する,production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,uat-regressions.spec.ts:40,matcher=toContain / 697 unique assertionsから51 flowsをround-robin抽出
UAT-137,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,探索・検索,uses path-specific fixture documents and a complete search index,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,uat-regressions.spec.ts:52 のユーザーフローを実行し、expect(readmeBody.diff.old.text)を観測,"expect(readmeBody.diff.old.text).toContain(""Repository documentation."") が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,uat-regressions.spec.ts:52,matcher=toContain / 697 unique assertionsから51 flowsをround-robin抽出
UAT-138,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,障害復旧・同期,rejects malformed and unknown pull request IDs,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,uat-regressions.spec.ts:102 のユーザーフローを実行し、expect((await request.get(`/api/pull-requests/${unknownPullRequestId}`)).status())を観測,expect((await request.get(`/api/pull-requests/${unknownPullRequestId}`)).status()).toBe(404) が成立する,production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,uat-regressions.spec.ts:102,matcher=toBe / 697 unique assertionsから51 flowsをround-robin抽出
UAT-139,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,コメント,discards in-memory comment drafts after a confirmed reset,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,uat-regressions.spec.ts:333 のユーザーフローを実行し、expect(draft)を観測,expect(draft).toBeHidden() が成立する,production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,uat-regressions.spec.ts:333,matcher=toBeHidden / 697 unique assertionsから51 flowsをround-robin抽出
UAT-140,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,文書閲覧,distinguishes virtual and repository documents with the same path,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"uat-regressions.spec.ts:439 のユーザーフローを実行し、expect( tablist.getByRole(""tab"", { name: ""Pull Request.md（repository）"", exact: true }), )を観測","expect( tablist.getByRole(""tab"", { name: ""Pull Request.md（repository）"", exact: true }), ).toContainText(""Pull Request.md · repository"") が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,uat-regressions.spec.ts:439,matcher=toContainText / 697 unique assertionsから51 flowsをround-robin抽出
UAT-141,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,障害復旧・同期,keeps cached review content and explains how to recover from server loss,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,uat-regressions.spec.ts:617 のユーザーフローを実行し、expect(pullRequestTitle)を観測,"expect(pullRequestTitle).toHaveText(title ?? """") が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,uat-regressions.spec.ts:617,matcher=toHaveText / 697 unique assertionsから51 flowsをround-robin抽出
UAT-142,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,コメント,allows file-level comments while line comments stay unavailable for binary files,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"uat-regressions.spec.ts:666 のユーザーフローを実行し、expect( page.getByText(""Binary artifact needs a file-level note."", { exact: true }), )を観測","expect( page.getByText(""Binary artifact needs a file-level note."", { exact: true }), ).toBeVisible() が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,uat-regressions.spec.ts:666,matcher=toBeVisible / 697 unique assertionsから51 flowsをround-robin抽出
UAT-143,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,タブ・2ペイン,defaults Markdown to preview and preserves an explicit mode per document tab,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"uat-regressions.spec.ts:696 のユーザーフローを実行し、expect(page.getByRole(""button"", { name: ""Preview"", exact: true }))を観測","expect(page.getByRole(""button"", { name: ""Preview"", exact: true })).toHaveAttribute( ""aria-pressed"", ""true"", ) が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,uat-regressions.spec.ts:696,matcher=toHaveAttribute / 697 unique assertionsから51 flowsをround-robin抽出
UAT-144,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,タブ・2ペイン,keeps full and diff file headers directly below the sticky document tabs,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"uat-regressions.spec.ts:728 のユーザーフローを実行し、expect .poll(async () => { return await diff.locator(""[data-diffs-header]"").evaluate((header) => { const root = header.getRootNode(); if (!(root instanceof ShadowRoot)) return null; const tabs = root.host.closest("".document-pane"")?.querySelector("".document-tabs-shell""); if (!(tabs instanceof HTMLElement)) return null; return Math.round( header.getBoundingClientRect().top - tabs.getBoundingClientRect().bottom, ); }); })を観測","expect .poll(async () => { return await diff.locator(""[data-diffs-header]"").evaluate((header) => { const root = header.getRootNode(); if (!(root instanceof ShadowRoot)) return null; const tabs = root.host.closest("".document-pane"")?.querySelector("".document-tabs-shell""); if (!(tabs instanceof HTMLElement)) return null; return Math.round( header.getBoundingClientRect().top - tabs.getBoundingClientRect().bottom, ); }); }) .toBe(0) が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,uat-regressions.spec.ts:728,matcher=toBe / 697 unique assertionsから51 flowsをround-robin抽出
UAT-145,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,タブ・2ペイン,starts a newly activated document at the top of its pane,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"uat-regressions.spec.ts:772 のユーザーフローを実行し、expect(shortDocument.locator('[data-line=""1""]'))を観測","expect(shortDocument.locator('[data-line=""1""]')).toBeVisible() が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,uat-regressions.spec.ts:772,matcher=toBeVisible / 697 unique assertionsから51 flowsをround-robin抽出
UAT-146,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,コメント,reopens an inline thread consistently after it changes while unmounted,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,uat-regressions.spec.ts:819 のユーザーフローを実行し、expect(inline)を観測,expect(inline).toHaveClass(/is-collapsed/) が成立する,production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,uat-regressions.spec.ts:819,matcher=toHaveClass / 697 unique assertionsから51 flowsをround-robin抽出
UAT-147,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,タブ・2ペイン,keeps activated overflow tabs visible and supports tablist arrow keys,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"uat-regressions.spec.ts:880 のユーザーフローを実行し、expect .poll(async () => { const list = await tabList.boundingBox(); const tab = await firstTab.boundingBox(); return Boolean( list && tab && tab.x >= list.x && tab.x + tab.width <= list.x + list.width + 1, ); })を観測","expect .poll(async () => { const list = await tabList.boundingBox(); const tab = await firstTab.boundingBox(); return Boolean( list && tab && tab.x >= list.x && tab.x + tab.width <= list.x + list.width + 1, ); }) .toBe(true) が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,uat-regressions.spec.ts:880,matcher=toBe / 697 unique assertionsから51 flowsをround-robin抽出
UAT-148,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,タブ・2ペイン,keeps both panes reachable inside a 640px viewport,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,uat-regressions.spec.ts:919 のユーザーフローを実行し、expect(mainBox).notを観測,expect(mainBox).not.toBeNull() が成立する,production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,uat-regressions.spec.ts:919,matcher=toBeNull / 697 unique assertionsから51 flowsをround-robin抽出
UAT-149,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,アクセシビリティ・表示,keeps every top bar control inside a 640px viewport,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,uat-regressions.spec.ts:941 のユーザーフローを実行し、expect(actionsBox).notを観測,expect(actionsBox).not.toBeNull() が成立する,production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,uat-regressions.spec.ts:941,matcher=toBeNull / 697 unique assertionsから51 flowsをround-robin抽出
UAT-150,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,ウォークスルー,keeps the beginning of code visible after narrow reference navigation,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"uat-regressions.spec.ts:960 のユーザーフローを実行し、expect(diff.locator('[data-line=""1""] span').first())を観測","expect(diff.locator('[data-line=""1""] span').first()).toHaveText(""import"") が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,uat-regressions.spec.ts:960,matcher=toHaveText / 697 unique assertionsから51 flowsをround-robin抽出
UAT-151,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,ウォークスルー,keeps agent explanation passive until a human opens an exact code reference,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"walkthrough.spec.ts:55 のユーザーフローを実行し、expect(page.locator("".walkthrough-panel-item""))を観測","expect(page.locator("".walkthrough-panel-item"")).toHaveCount(5) が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,walkthrough.spec.ts:55,matcher=toHaveCount / 697 unique assertionsから51 flowsをround-robin抽出
UAT-152,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,ウォークスルー,falls back to full text for an unchanged file opened from a Walkthrough reference,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"walkthrough.spec.ts:288 のユーザーフローを実行し、expect( page.getByText(/参照元 b{8} ≠ 対象 c{8} · 差分なし · 全文表示/, { exact: true }), )を観測","expect( page.getByText(/参照元 b{8} ≠ 対象 c{8} · 差分なし · 全文表示/, { exact: true }), ).toBeVisible() が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,walkthrough.spec.ts:288,matcher=toBeVisible / 697 unique assertionsから51 flowsをround-robin抽出
UAT-153,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,ウォークスルー,keeps the PR range while switching a Walkthrough reference diff to split,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,walkthrough.spec.ts:360 のユーザーフローを実行し、expect(rightDiff)を観測,expect(rightDiff).toBeVisible() が成立する,production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,walkthrough.spec.ts:360,matcher=toBeVisible / 697 unique assertionsから51 flowsをround-robin抽出
UAT-154,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,ウォークスルー,keeps the review scope and reports a broken Walkthrough reference temporarily,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,walkthrough.spec.ts:419 のユーザーフローを実行し、expect(commitPicker)を観測,"expect(commitPicker).toHaveAttribute(""aria-label"", initialCommitSelection!) が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,walkthrough.spec.ts:419,matcher=toHaveAttribute / 697 unique assertionsから51 flowsをround-robin抽出
UAT-155,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,ウォークスルー,reports a Walkthrough reference load failure without calling it a broken link,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"walkthrough.spec.ts:448 のユーザーフローを実行し、expect(page.getByRole(""tab"", { name: unavailablePath }))を観測","expect(page.getByRole(""tab"", { name: unavailablePath })).toHaveCount(0) が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,walkthrough.spec.ts:448,matcher=toHaveCount / 697 unique assertionsから51 flowsをround-robin抽出
UAT-156,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,ウォークスルー,does not let a delayed Walkthrough reference replace navigation that returned to its prior state,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"walkthrough.spec.ts:557 のユーザーフローを実行し、expect(page.getByRole(""tab"", { name: delayedPath }))を観測","expect(page.getByRole(""tab"", { name: delayedPath })).toHaveCount(0) が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,walkthrough.spec.ts:557,matcher=toHaveCount / 697 unique assertionsから51 flowsをround-robin抽出
UAT-157,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,ウォークスルー,moves document tabs between at most two panes and previews repository Markdown,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"walkthrough.spec.ts:591 のユーザーフローを実行し、expect( page .locator('.document-pane[data-pane=""left""]') .getByRole(""tab"", { name: ""src/http/routes/orders.ts"" }), )を観測","expect( page .locator('.document-pane[data-pane=""left""]') .getByRole(""tab"", { name: ""src/http/routes/orders.ts"" }), ).toHaveAttribute(""aria-selected"", ""true"") が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,walkthrough.spec.ts:591,matcher=toHaveAttribute / 697 unique assertionsから51 flowsをround-robin抽出
UAT-158,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,ウォークスルー,"keeps native Markdown pointer selection stable across headings, tables, and code",fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"walkthrough.spec.ts:886 のユーザーフローを実行し、expect(page.getByRole(""button"", { name: ""L21へコメント"", exact: true }))を観測","expect(page.getByRole(""button"", { name: ""L21へコメント"", exact: true })).toBeVisible() が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,walkthrough.spec.ts:886,matcher=toBeVisible / 697 unique assertionsから51 flowsをround-robin抽出
UAT-159,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,ウォークスルー,keeps walkthrough Markdown selection stable on the first interaction,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"walkthrough.spec.ts:936 のユーザーフローを実行し、expect(page.getByRole(""button"", { name: ""L7へコメント"", exact: true }))を観測","expect(page.getByRole(""button"", { name: ""L7へコメント"", exact: true })).toBeVisible() が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,walkthrough.spec.ts:936,matcher=toBeVisible / 697 unique assertionsから51 flowsをround-robin抽出
UAT-160,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,ウォークスルー,renders a class diagram with code-bound classes,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,walkthrough.spec.ts:961 のユーザーフローを実行し、expect(orderClass)を観測,expect(orderClass).toBeVisible() が成立する,production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,walkthrough.spec.ts:961,matcher=toBeVisible / 697 unique assertionsから51 flowsをround-robin抽出
UAT-161,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,コメント,renders the Markdown walkthrough showcase and keeps every expression commentable,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"walkthrough.spec.ts:996 のユーザーフローを実行し、expect( page.locator("".walkthrough-inline-reference"").filter({ hasText: ""コード参照"" }), )を観測","expect( page.locator("".walkthrough-inline-reference"").filter({ hasText: ""コード参照"" }), ).toBeVisible() が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,walkthrough.spec.ts:996,matcher=toBeVisible / 697 unique assertionsから51 flowsをround-robin抽出
UAT-162,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,コメント,keeps Markdown comment menus reachable across narrow viewports,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,walkthrough.spec.ts:1143 のユーザーフローを実行し、expect(box!.x)を観測,expect(box!.x).toBeGreaterThanOrEqual(8) が成立する,production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,walkthrough.spec.ts:1143,matcher=toBeGreaterThanOrEqual / 697 unique assertionsから51 flowsをround-robin抽出
UAT-163,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,コメント,normalizes mixed Markdown selections and ignores comment UI text,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"walkthrough.spec.ts:1190 のユーザーフローを実行し、expect(page.locator("".markdown-selection-comment-action""))を観測","expect(page.locator("".markdown-selection-comment-action"")).toHaveCount(0) が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,walkthrough.spec.ts:1190,matcher=toHaveCount / 697 unique assertionsから51 flowsをround-robin抽出
UAT-164,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,ウォークスルー,resizes the sidebar and two reading panes with pointer drag,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,walkthrough.spec.ts:1253 のユーザーフローを実行し、expect(sidebarHandle)を観測,"expect(sidebarHandle).toHaveCSS(""border-left-width"", ""0px"") が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,walkthrough.spec.ts:1253,matcher=toHaveCSS / 697 unique assertionsから51 flowsをround-robin抽出
UAT-165,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,ウォークスルー,keeps readable minimum widths on a narrow viewport,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"walkthrough.spec.ts:1312 のユーザーフローを実行し、expect(page.locator('.document-pane[data-pane=""right""]'))を観測","expect(page.locator('.document-pane[data-pane=""right""]')).toBeVisible() が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,walkthrough.spec.ts:1312,matcher=toBeVisible / 697 unique assertionsから51 flowsをround-robin抽出
UAT-166,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,ウォークスルー,refreshes an open walkthrough in place after an agent update,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"walkthrough.spec.ts:1358 のユーザーフローを実行し、expect(page.getByRole(""tab"", { name: updatedTitle }))を観測","expect(page.getByRole(""tab"", { name: updatedTitle })).toHaveAttribute( ""aria-selected"", ""true"", ) が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,walkthrough.spec.ts:1358,matcher=toHaveAttribute / 697 unique assertionsから51 flowsをround-robin抽出
UAT-167,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,コメント,comments on the walkthrough as a whole,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,walkthrough.spec.ts:1390 のユーザーフローを実行し、expect(sidebarComment)を観測,expect(sidebarComment).toBeVisible() が成立する,production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,walkthrough.spec.ts:1390,matcher=toBeVisible / 697 unique assertionsから51 flowsをround-robin抽出
UAT-168,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,コメント,comments on selected walkthrough lines and marks them Outdated after replacement,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"walkthrough.spec.ts:1438 のユーザーフローを実行し、expect(inlineLineComment.getByText(""L5"", { exact: true }))を観測","expect(inlineLineComment.getByText(""L5"", { exact: true })).toBeVisible() が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,walkthrough.spec.ts:1438,matcher=toBeVisible / 697 unique assertionsから51 flowsをround-robin抽出
UAT-169,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,ウォークスルー,deletes an unnecessary walkthrough and its whole-document feedback after confirmation,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"walkthrough.spec.ts:1583 のユーザーフローを実行し、expect(page.getByRole(""tab"", { name: title }))を観測","expect(page.getByRole(""tab"", { name: title })).toHaveCount(0) が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,walkthrough.spec.ts:1583,matcher=toHaveCount / 697 unique assertionsから51 flowsをround-robin抽出
UAT-170,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,コメント,"reviews a line across commits, preserves the tabbed UI, and resolves it",fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,review-flow.spec.ts:20 のユーザーフローを実行し、expect(pullRequestLink)を観測,"expect(pullRequestLink).toHaveAttribute(""target"", ""_blank"") が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,review-flow.spec.ts:20,matcher=toHaveAttribute / 697 unique assertionsから51 flowsをround-robin抽出
UAT-171,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,コメント,keeps a comment on the current PR body placed with its saved hash and quote,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,review-flow.spec.ts:833 のユーザーフローを実行し、expect(placementResponse.ok())を観測,expect(placementResponse.ok()).toBe(true) が成立する,production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,review-flow.spec.ts:833,matcher=toBe / 697 unique assertionsから51 flowsをround-robin抽出
UAT-172,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,コメント,keeps PR body preview comments interactive and stacks collapsed source menus without layout shifts,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,review-flow.spec.ts:894 のユーザーフローを実行し、expect(previewThread)を観測,expect(previewThread).toBeVisible() が成立する,production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,review-flow.spec.ts:894,matcher=toBeVisible / 697 unique assertionsから51 flowsをround-robin抽出
UAT-173,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,アクセシビリティ・表示,restores the shared theme after browser storage is cleared,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"review-flow.spec.ts:1036 のユーザーフローを実行し、expect .poll(async () => { const response = await request.get(""/api/preferences/theme""); const body = (await response.json()) as { themePreference: string }; return body.themePreference; })を観測","expect .poll(async () => { const response = await request.get(""/api/preferences/theme""); const body = (await response.json()) as { themePreference: string }; return body.themePreference; }) .toBe(""system"") が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,review-flow.spec.ts:1036,matcher=toBe / 697 unique assertionsから51 flowsをround-robin抽出
UAT-174,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,起動・統合フロー,selects and copies code text with native browser selection,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"review-flow.spec.ts:1070 のユーザーフローを実行し、expect(page.locator("".inline-comment-composer--line""))を観測","expect(page.locator("".inline-comment-composer--line"")).toHaveCount(0) が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,review-flow.spec.ts:1070,matcher=toHaveCount / 697 unique assertionsから51 flowsをround-robin抽出
UAT-175,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,探索・検索,"searches while typing, groups occurrences, and reveals a result without changing display mode",fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"review-flow.spec.ts:1114 のユーザーフローを実行し、expect(diff.locator('[data-line=""13""]'))を観測","expect(diff.locator('[data-line=""13""]')).toHaveCount(0) が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,review-flow.spec.ts:1114,matcher=toHaveCount / 697 unique assertionsから51 flowsをround-robin抽出
UAT-176,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,アクセシビリティ・表示,keeps every sidebar stack heading visible in a short viewport,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,review-flow.spec.ts:1195 のユーザーフローを実行し、expect(layout.latestToggleBottom)を観測,expect(layout.latestToggleBottom).toBeLessThanOrEqual(layout.sidebarBottom + 1) が成立する,production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,review-flow.spec.ts:1195,matcher=toBeLessThanOrEqual / 697 unique assertionsから51 flowsをround-robin抽出
UAT-177,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,起動・統合フロー,keeps useful minimum heights while sizing expanded sidebar stacks by content,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"review-flow.spec.ts:1216 のユーザーフローを実行し、expect(heightByKind.get(""sidebar-stack--comments""))を観測","expect(heightByKind.get(""sidebar-stack--comments"")).toBeGreaterThanOrEqual(210) が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,review-flow.spec.ts:1216,matcher=toBeGreaterThanOrEqual / 697 unique assertionsから51 flowsをround-robin抽出
UAT-178,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,タブ・2ペイン,opens a fuzzy-matched file from Cmd/Ctrl+P in the active pane,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"review-flow.spec.ts:1232 のユーザーフローを実行し、expect(page.getByRole(""tab"", { name: ""src/fixture.ts"" }))を観測","expect(page.getByRole(""tab"", { name: ""src/fixture.ts"" })).toHaveAttribute( ""aria-selected"", ""true"", ) が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,review-flow.spec.ts:1232,matcher=toHaveAttribute / 697 unique assertionsから51 flowsをround-robin抽出
